age,income,loan_amount,fico_score,employment_years,loan_purpose,default
26,171222,24096,600,25,personal,1
41,91180,7192,523,37,home,1
18,194358,39016,617,31,personal,0
61,132856,16246,648,38,home,0
25,88450,23381,414,35,personal,0
41,172424,41455,622,39,medical,0
28,131888,31727,339,36,medical,0
68,130448,9018,339,32,medical,1
34,34397,16302,588,35,business,0
25,192627,6970,561,2,education,0
52,198031,46157,515,8,medical,1
52,151800,32202,446,7,home,0
50,139180,36110,635,32,medical,1
22,86234,22586,467,5,business,0
59,59954,29519,391,38,home,0
56,198352,36273,652,3,business,0
58,99459,26951,662,12,home,0
45,167851,20374,644,1,personal,1
24,175538,10788,469,4,education,0
26,188011,10408,655,26,education,1
25,186342,30053,490,31,business,0
29,79163,14446,721,20,education,0
51,71934,5922,306,7,business,0
50,183379,38187,432,37,business,0
65,74098,15789,330,7,business,1
40,25486,37184,834,2,education,0
41,159407,6120,725,2,business,0
54,106900,49028,693,21,education,0
52,146020,37154,662,5,business,0
61,122795,22334,736,1,medical,0
57,162202,7336,381,22,business,0
39,107508,43141,655,1,home,1
44,138324,7243,557,37,business,0
52,80566,24029,823,16,personal,0
18,47192,37265,594,34,business,0
52,21062,42380,523,33,home,0
54,104076,48872,824,22,home,1
64,109780,28710,345,29,education,0
31,172617,34486,412,7,medical,0
20,41689,11371,532,21,business,0
18,31174,11359,316,35,education,0
22,108461,45631,659,4,medical,0
43,146174,40996,522,12,business,1
31,123033,25103,747,28,personal,1
56,29348,19382,664,30,business,1
44,174786,23755,625,15,home,0
26,58102,40659,766,29,home,0
32,94460,8756,713,15,personal,0
32,122634,25609,754,11,education,0
43,109930,21478,532,16,medical,1
59,26801,40442,523,15,business,0
30,123150,44666,711,11,home,1
68,199208,15147,634,7,education,1
49,174697,38561,521,19,personal,0
56,195333,39884,336,2,home,0
66,21542,10779,577,15,personal,0
69,41677,17298,495,29,business,0
49,197804,19153,783,22,medical,1
21,59081,48879,541,27,home,0
47,113105,15789,623,39,home,0
54,39065,49165,491,4,business,0
40,108092,17999,316,19,education,1
56,74693,5814,823,39,medical,0
62,46962,15541,700,0,home,1
32,48295,29938,321,29,medical,0
60,33807,7443,773,20,home,1
46,193420,15457,419,19,medical,1
53,177504,15380,509,5,personal,0
30,191334,12783,605,21,home,0
49,188152,49241,569,17,medical,1
24,152396,22368,584,7,education,0
68,111267,20328,526,38,personal,1
39,186981,31215,680,31,personal,0
45,39870,38595,759,32,education,1
19,185650,32306,306,15,medical,1
59,46790,24915,328,11,business,1
62,138874,44915,332,37,education,0
23,45289,42219,378,33,medical,0
45,35485,20343,758,13,education,0
45,64482,43727,837,35,education,0
61,106188,5126,781,32,home,0
61,24748,32632,729,22,medical,0
37,160507,46563,584,1,business,1
47,23709,49409,815,20,home,0
28,143961,25530,398,1,education,0
45,50355,44964,696,26,education,0
42,164188,49327,788,8,education,0
56,176542,8368,338,0,medical,0
50,193416,8797,570,10,medical,1
18,62918,18718,456,2,home,1
44,72224,39560,374,22,business,0
69,59298,16053,429,25,home,0
30,100219,27116,383,3,personal,1
58,81629,41244,321,17,education,0
20,86040,41185,758,5,education,0
56,48016,6645,838,34,education,0
23,43960,24256,681,21,home,0
25,53591,40840,739,14,home,0
44,123333,39622,320,21,education,0
26,134821,42430,602,36,home,0
54,56395,44282,383,11,medical,1
50,149695,7708,752,37,medical,0
68,173772,16694,686,17,home,1
59,54620,14524,806,34,education,1
61,148148,36880,556,29,home,0
41,40559,44224,826,23,home,0
32,113396,41980,461,29,home,0
49,41732,37409,462,13,personal,0
49,111362,18224,823,5,medical,1
41,181426,45738,570,2,business,0
58,33843,30150,791,15,business,1
69,134065,39393,507,6,personal,0
66,91726,48082,838,13,home,0
66,37640,12973,359,8,personal,0
69,72528,13577,729,14,personal,0
29,58413,13070,608,20,education,0
56,72638,13666,819,34,medical,0
19,130133,41368,326,1,business,0
20,126357,11783,498,26,home,0
66,170159,46914,686,1,business,1
54,192502,9971,648,34,business,0
66,175576,18490,835,17,medical,1
34,158186,6990,677,13,business,1
66,98859,10299,826,19,business,1
19,119657,24956,452,17,personal,0
19,162047,27359,505,9,medical,1
45,31023,42148,754,24,education,0
40,41447,33734,572,1,home,0
54,145899,9757,535,24,business,0
49,43959,24097,820,32,home,1
50,86203,15395,800,35,education,0
18,139156,21241,416,30,home,1
36,180775,43356,685,13,education,0
19,29337,32696,643,0,personal,1
61,66427,9944,694,15,business,1
43,81529,24816,363,2,education,0
49,122023,42011,371,34,home,1
23,104665,29917,573,5,business,0
49,125787,36195,619,24,personal,0
21,182993,26566,637,12,business,0
28,53307,14916,665,33,education,0
34,178427,25806,794,7,personal,0
55,147016,14984,465,20,home,0
41,24835,6759,843,33,personal,0
22,40159,46949,310,3,personal,1
69,198677,31838,600,24,medical,1
51,141790,7482,401,14,personal,1
23,125616,29442,724,3,personal,1
39,189160,38719,691,11,business,1
28,98752,32965,513,31,home,0
65,75284,7079,387,31,business,0
33,77043,7717,700,27,business,1
50,186619,32952,345,12,education,0
26,117007,25908,762,30,business,0
23,102844,47460,609,13,medical,0
33,47532,29861,385,19,medical,0
46,185421,12311,391,17,education,0
20,142402,33071,541,28,home,0
37,138012,28570,301,5,home,0
53,196517,23449,524,31,business,0
36,156785,38536,415,28,business,0
43,76178,43258,402,1,business,0
20,69407,33865,493,22,home,1
36,70990,11645,465,18,personal,0
37,149473,43000,389,30,medical,0
49,78141,31737,421,4,personal,1
24,174865,16485,442,18,personal,0
69,76570,43565,405,33,home,0
58,188964,30522,727,9,personal,0
50,21015,17342,604,24,education,1
57,81813,45806,616,1,business,0
56,47712,18087,308,10,education,0
35,120497,42641,372,30,medical,1
57,159487,39249,658,14,business,0
18,132816,15093,522,8,personal,0
28,148778,21438,715,22,medical,0
45,82292,45411,669,18,business,0
42,43833,31399,563,8,personal,0
67,155230,24846,617,34,education,0
40,40309,20708,383,20,business,1
48,26970,49039,617,8,personal,0
47,92474,15998,410,27,education,0
59,66540,35678,550,6,medical,0
52,171456,15682,682,15,medical,0
24,38017,13519,306,15,medical,0
33,95880,36480,758,32,medical,1
43,125570,24694,383,3,home,0
65,28702,8300,507,3,business,1
69,151456,11722,689,38,business,1
66,20404,44986,613,39,home,0
19,192015,29160,321,16,personal,1
18,198998,25059,709,36,personal,0
65,180261,40822,814,38,medical,0
29,32763,18575,426,28,education,0
22,169456,12970,313,35,personal,0
54,118142,39911,311,37,education,0
49,160932,26591,386,38,business,0
26,100642,36821,823,36,education,0
58,70612,14503,836,34,business,0
52,43574,23922,600,6,home,0
36,43524,17175,542,26,home,1
65,30916,46124,421,27,medical,1
33,24809,26389,446,21,personal,0
20,183273,5822,655,13,medical,0
37,164528,22327,608,6,business,1
41,141288,11150,587,36,medical,1
50,58765,9425,606,21,education,1
41,185888,21032,848,4,business,0
69,65106,7198,651,1,home,0
28,73932,25079,611,26,personal,0
66,168172,41220,358,20,business,0
25,77091,46874,334,37,business,1
53,41949,18859,744,14,education,1
55,57744,36419,392,20,personal,0
57,196615,13705,506,9,home,1
37,128319,47880,652,22,business,0
52,112193,28236,631,38,business,0
65,56187,27419,458,4,education,0
42,158311,24978,323,0,medical,1
52,144454,42609,703,12,home,0
42,34489,20358,815,20,personal,1
46,81877,39177,663,25,business,1
35,194197,34378,681,20,business,0
63,69922,42334,831,17,home,0
35,114074,16382,451,36,medical,1
19,183121,19596,719,31,business,0
52,57131,38572,549,35,home,1
33,194016,18221,416,16,education,1
58,135765,6279,811,34,medical,0
53,93963,12083,634,10,personal,0
50,126884,48861,717,20,business,1
21,145917,22771,594,25,home,0
50,44285,34975,670,3,education,0
31,57626,24063,485,33,personal,0
38,193880,7106,545,17,home,0
65,39198,29557,567,39,home,1
37,170830,25607,536,34,personal,1
25,35254,42599,829,28,education,0
24,64238,33529,320,28,education,0
20,21252,40954,819,37,medical,0
34,59764,32856,399,20,business,1
50,97709,7573,777,12,personal,0
65,188513,17808,597,16,personal,0
29,73682,40367,825,8,personal,0
68,79494,41801,633,0,education,0
39,101317,46196,301,1,business,1
39,85215,39072,674,28,medical,0
63,98587,28752,592,32,home,0
47,26949,22685,617,9,home,0
55,75393,46401,801,39,personal,1
55,158013,16372,680,20,business,0
62,45934,13996,313,27,education,0
68,174458,21458,803,10,business,0
25,95745,36889,530,33,business,1
44,114456,31665,383,7,education,0
44,73413,43243,429,21,personal,0
51,117239,36653,444,7,business,0
38,62318,31657,327,14,home,1
47,90390,44952,365,16,education,0
50,63088,27180,462,22,medical,1
45,123196,36896,528,23,personal,0
64,190883,17875,560,18,education,0
50,75479,6622,748,4,medical,0
22,39963,45809,723,31,medical,1
65,75123,21725,759,0,business,0
36,145911,45760,600,22,business,1
21,122468,20646,602,36,business,1
52,93477,22029,586,7,education,0
66,34388,34402,694,12,education,1
34,25569,9263,309,7,personal,1
61,89836,35987,569,22,business,0
45,124573,13646,660,0,medical,0
47,187658,32529,556,23,home,1
46,163087,16664,432,34,personal,0
63,65002,40737,575,23,education,1
23,157326,40796,812,16,personal,1
52,168216,29027,612,4,personal,0
58,175286,34373,583,19,personal,0
54,157162,41397,420,20,personal,0
41,162709,25609,406,39,home,0
46,173487,40835,503,30,business,0
66,44071,43709,464,35,medical,0
63,78243,24250,604,10,personal,0
48,145827,26172,796,14,personal,1
52,128215,16555,455,18,personal,1
50,192312,26874,666,6,business,0
69,121570,18081,550,27,education,0
38,184506,29063,633,4,education,0
49,89724,11819,810,4,home,0
40,135359,30712,592,29,education,1
50,95697,29762,319,31,personal,1
20,48732,16046,581,7,personal,1
35,141465,36463,300,9,personal,1
42,162386,33769,418,37,home,0
59,175026,28150,334,31,personal,1
48,77108,7711,497,27,education,0
20,131195,9853,784,16,business,1
57,123081,34077,358,30,business,0
63,56668,28863,460,7,medical,1
41,43061,26792,505,39,education,1
67,99252,45483,311,24,personal,0
49,59749,13942,789,8,business,0
64,150560,6762,575,1,education,1
39,124680,36987,541,14,business,0
40,167979,20850,515,2,personal,0
19,169849,17112,550,35,business,0
44,71745,29058,425,3,medical,0
59,128464,43890,516,13,medical,1
19,111865,5481,605,24,business,0
43,132428,37921,484,9,education,0
34,43624,45385,338,20,education,0
57,43321,6524,522,35,education,0
50,161560,39888,483,11,business,0
26,42574,20048,794,26,education,0
60,156312,40111,726,39,personal,0
65,194293,42904,477,1,medical,0
56,161550,39008,727,12,personal,1
46,170334,5060,593,31,education,0
59,138831,14130,450,30,personal,0
43,155504,23023,683,15,education,0
52,115257,18350,607,31,business,0
67,84291,29354,635,31,personal,0
42,147600,33145,674,33,business,0
41,70428,39020,307,10,business,1
30,151374,25587,640,9,home,0
24,151127,46131,428,14,education,0
53,131317,14650,651,16,medical,1
62,159789,24933,657,39,education,0
37,147449,25581,816,17,medical,0
18,48699,28393,794,8,education,0
25,93686,28051,385,24,business,0
63,87661,31212,474,39,personal,1
33,64247,9090,492,13,personal,1
31,167820,11960,610,24,home,1
29,125113,40772,418,21,medical,0
68,24621,26520,517,29,medical,0
40,166106,41408,726,19,medical,0
32,156198,33470,713,20,business,0
45,156194,25491,413,31,medical,0
51,38030,6341,444,20,personal,1
19,102838,49623,837,34,business,0
49,104717,29791,602,31,education,0
40,58638,5338,644,29,medical,0
39,87067,10895,300,38,medical,0
68,138033,17254,446,11,education,0
42,125977,16344,586,17,medical,1
39,108869,6750,352,20,education,0
39,125186,7421,603,12,business,1
66,54674,44887,368,20,personal,0
69,186926,10319,660,7,education,1
59,66271,20896,519,39,home,1
23,93688,16918,460,6,education,0
32,189590,30064,388,22,medical,0
60,131076,32935,458,31,business,1
54,161339,42641,788,10,business,0
50,21062,34711,623,21,education,1
25,70448,9806,680,21,personal,0
61,115462,46360,401,24,home,0
61,157301,17182,793,21,business,1
22,67915,27297,318,27,medical,1
56,24632,24541,753,28,medical,0
21,124592,33921,781,12,personal,1
23,154668,21774,696,17,business,0
62,129779,49813,578,1,education,0
49,157240,42198,664,28,medical,0
69,128099,13820,630,20,personal,0
47,27561,29070,643,14,business,1
64,102152,9232,754,26,business,0
52,145036,16122,364,30,business,0
57,144049,20023,375,14,business,0
69,46734,13007,442,22,business,0
33,157443,22905,772,23,medical,0
30,46069,46786,716,12,personal,1
67,32910,34398,604,21,business,0
59,93479,39268,796,36,home,1
47,101264,11737,590,32,home,1
36,43275,41062,401,2,personal,0
34,92274,30510,566,18,education,1
36,120776,24426,302,22,education,1
45,68447,42265,384,28,education,0
43,185601,22850,627,29,home,0
54,146394,5614,749,38,education,0
43,95703,26776,753,24,medical,0
40,96090,29077,520,36,business,1
26,37260,14374,453,7,home,0
29,132581,40435,311,15,personal,1
18,23812,35907,432,7,personal,0
18,179096,18409,603,0,business,0
64,136148,21514,592,4,home,1
51,178357,34866,599,2,education,0
49,136421,7983,342,0,education,0
65,21605,36705,642,3,medical,0
42,92303,25662,625,39,medical,0
57,178211,28510,797,34,education,0
62,96125,17651,663,31,personal,0
18,164990,45998,726,33,personal,0
